repository,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,name,full_name,stars,language,created_at,updated_at,open_issues,html_url
tinker,0.0,0.0,0.0,2493,3867,1373,2494,8928,834,44,5551,14805,155.578081576,-117.0,-117.0,2836,804,1962,446,291,137,2397,47,29,10,2621,1450,1435,838,82,266,1781,0,2737,40448,2823,618,1896,413,729,3094,4028,8581,1524,6480,627,52,171,4,24592,24192,0,tinker,Tencent/tinker,17537,Java,2016-09-06T06:57:52Z,2025-09-10T21:00:53Z,549,https://github.com/Tencent/tinker
tutorials,0.0,0.0,0.0,293913,371520,75048,296472,298545,79401,1842,439056,426069,12426.794202234,-5766.0,-5766.0,237072,24693,185364,12822,2898,35988,225204,516,2358,120,85056,19824,5298,70701,747,8310,25578,0,88260,1578369,102108,12405,21864,10011,9249,327216,176340,302676,38352,311940,25596,2490,3273,24864,1538172,787929,11625,tutorials,eugenp/tutorials,37254,Java,2013-04-29T18:26:36Z,2025-09-10T15:50:31Z,29,https://github.com/eugenp/tutorials
uCrop,0.0,0.0,0.0,488,631,143,488,978,105,4,1063,2226,21.08050452,0.0,0.0,481,38,330,94,37,20,391,0,0,0,321,119,78,228,12,3,165,0,151,4707,210,22,215,24,125,179,453,928,333,735,72,27,15,5,3802,103,0,uCrop,Yalantis/uCrop,12039,Java,2016-01-05T13:41:06Z,2025-09-10T21:00:52Z,307,https://github.com/Yalantis/uCrop
vhr,0.0,0.0,0.0,834,1148,314,834,1706,192,0,1056,9086,56.91037144,-2.0,-2.0,1364,28,998,16,6,344,1350,0,0,0,496,34,22,364,0,110,32,0,192,5942,744,22,188,20,16,690,474,784,120,890,98,4,0,16,4468,178,14,vhr,lenve/vhr,27940,Java,2018-01-04T08:57:51Z,2025-09-10T18:29:20Z,213,https://github.com/lenve/vhr
vlayout,0.0,0.0,0.0,845,1120,275,845,3257,295,21,1924,11534,45.50940783,-1.0,-1.0,1144,18,838,114,71,121,1031,43,5,0,470,121,64,306,45,55,126,0,234,14042,692,167,715,34,429,356,1767,3023,1495,1898,158,57,52,0,7678,12681,0,vlayout,alibaba/vlayout,10775,Java,2017-02-27T08:11:47Z,2025-09-09T10:24:43Z,194,https://github.com/alibaba/vlayout
webmagic,0.0,0.0,0.0,1559,2723,1164,1559,1903,407,39,2649,3944,76.04153695,-25.0,-25.0,1209,117,1048,80,59,22,1132,8,0,15,444,77,28,373,34,9,88,0,438,8794,763,146,258,80,44,4604,434,1408,194,1222,249,42,36,3,9004,24037,48,webmagic,code4craft/webmagic,11625,Java,2013-04-23T12:57:36Z,2025-09-10T14:47:41Z,367,https://github.com/code4craft/webmagic
xManager,0.0,0.0,0.0,1057,1136,79,1057,1224,535,0,1938,2480,6.62342378,-13.0,-13.0,696,78,667,27,2,0,669,0,0,1,419,15,9,403,1,6,8,0,139,21822,445,16,160,81,285,1228,2315,1395,158,878,277,509,7,0,5187,-478,0,xManager,Team-xManager/xManager,11832,Java,2021-02-08T11:31:10Z,2025-09-10T18:39:49Z,30,https://github.com/Team-xManager/xManager
xpipe,0.0,0.0,0.0,10303,14599,4296,10303,12377,2332,237,21959,27893,250.74086791,-129.0,-129.0,6142,963,4454,594,293,801,5558,155,12,127,1929,296,114,958,60,797,931,0,4277,61510,6153,307,2584,506,350,6636,2375,7779,1076,10158,1592,192,373,2854,38030,74446,121,xpipe,xpipe-io/xpipe,11575,Java,2023-01-27T02:25:38Z,2025-09-10T18:36:28Z,44,https://github.com/xpipe-io/xpipe
xxl-job,0.0,0.0,0.0,1634,2618,984,1634,4052,386,32,4100,6986,97.819235,-8.0,-8.0,1598,260,1460,94,34,10,1508,4,2,0,830,258,38,734,58,0,120,0,1764,17708,1334,222,1008,280,298,2546,1616,2874,634,2308,450,74,8,8,10898,4372,326,xxl-job,xuxueli/xxl-job,29286,Java,2015-11-28T12:59:34Z,2025-09-10T14:45:22Z,337,https://github.com/xuxueli/xxl-job
yudao-cloud,0.0,0.0,0.0,29756,37513,7757,29756,18017,4597,210,31953,60965,563.499857411,-1660.0,-1660.0,11761,807,6876,1038,170,3677,10729,33,19,2,14247,656,434,12502,110,1201,1268,0,3305,91701,8354,242,2240,345,159,32429,5070,13222,1000,26713,1242,78,234,2554,111916,33019,729,yudao-cloud,YunaiV/yudao-cloud,17834,Java,2019-05-02T16:06:49Z,2025-09-10T19:04:09Z,6,https://github.com/YunaiV/yudao-cloud
zaproxy,0.0,0.0,0.0,11963,18089,6126,11963,37529,4821,416,38712,175732,1034.545735407,-86.0,-86.0,19783,1584,11590,3216,1316,3661,16666,247,56,210,9249,4482,996,7793,322,138,4973,0,8406,183106,12135,2051,6550,1698,1183,20061,15223,32076,3185,25178,2727,588,533,695,129374,136057,1739,zaproxy,zaproxy/zaproxy,14074,Java,2015-06-03T16:55:01Z,2025-09-10T22:07:22Z,854,https://github.com/zaproxy/zaproxy
zfile,0.0,0.0,0.0,2902,4058,1156,2902,2438,623,46,3720,3914,74.88483416,-140.0,-140.0,1129,174,951,85,5,88,1052,16,1,3,1375,188,113,1229,9,24,265,0,1082,12385,1089,112,411,108,86,3502,597,2449,272,3241,285,4,27,56,11874,9806,179,zfile,zfile-dev/zfile,10376,Java,2019-08-19T13:57:56Z,2025-09-10T18:23:25Z,47,https://github.com/zfile-dev/zfile
zheng,0.0,0.0,0.0,2306,3449,1143,2306,6962,717,43,2621,173496,169.70252126,-99.0,-99.0,5625,99,4715,18,412,480,5612,0,1,19,1152,275,33,907,146,66,218,0,335,41742,4409,68,1083,66,743,7781,865,2755,782,2245,283,21,110,0,12081,41392,76,zheng,shuzheng/zheng,16731,Java,2016-10-04T10:07:06Z,2025-09-10T12:18:17Z,78,https://github.com/shuzheng/zheng
zookeeper,0.0,0.0,0.0,9942,14074,4132,9942,20986,3515,624,23978,64619,480.2656296,-55.0,-55.0,10070,890,7385,1165,364,1156,8970,100,16,304,4582,1392,657,2703,410,812,2195,0,6815,122448,4954,1921,3473,1718,1103,20219,13136,21453,4309,17495,2063,239,553,470,92459,47658,2341,zookeeper,apache/zookeeper,12594,Java,2009-03-27T15:41:56Z,2025-09-10T11:37:48Z,221,https://github.com/apache/zookeeper
zuul,0.0,0.0,0.0,3258,4715,1457,3258,4149,808,75,5360,12470,118.482714205,-56.0,-56.0,2593,212,1464,194,239,696,2409,17,38,2,1237,509,268,789,119,61,948,0,1106,21586,1267,121,561,150,139,3676,1473,3885,316,3392,377,45,93,169,20074,28685,216,zuul,Netflix/zuul,13884,Java,2013-03-13T18:53:57Z,2025-09-09T21:27:23Z,8,https://github.com/Netflix/zuul
zxing,0.0,0.0,0.0,5932,9482,3550,5932,19408,1978,304,12672,27332,393.62349436,-70.0,-70.0,6470,1536,3470,1578,236,1186,4950,48,232,52,3172,1582,240,2688,8,236,2742,0,7090,80058,4894,2238,3712,440,2262,10100,57718,20188,8370,15000,1632,62,98,26,70608,72170,86,zxing,zxing/zxing,33581,Java,2011-10-12T14:07:27Z,2025-09-10T21:05:35Z,6,https://github.com/zxing/zxing
