repository,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,name,full_name,stars,language,created_at,updated_at,open_issues,html_url
GSYVideoPlayer,0.0,0.0,0.0,6978,10260,3282,6978,14382,2004,136,13268,70412,292.14653104,-26.0,-26.0,7570,526,5486,630,946,508,6944,108,14,58,2942,548,240,1626,702,374,612,0,2052,63856,3092,218,3154,296,1004,3874,5178,9094,2474,5994,1140,618,94,4,42190,31410,18,GSYVideoPlayer,CarGuo/GSYVideoPlayer,21077,Java,2016-11-13T12:34:31Z,2025-09-10T21:00:54Z,16,https://github.com/CarGuo/GSYVideoPlayer
GitHub-Chinese-Top-Charts,0.0,0.0,0.0,0,0,0,0,3,3,0,3,0,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,GitHub-Chinese-Top-Charts,GrowingGit/GitHub-Chinese-Top-Charts,102048,Java,2019-09-05T03:01:56Z,2025-09-10T18:42:12Z,188,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
GmsCore,0.0,0.0,0.0,10374,13286,2911,10375,11420,3094,228,7886,25736,501.751639093,-350.0,-350.0,7382,595,6080,475,124,703,6911,127,95,86,6476,2587,3610,2488,38,340,3109,0,1726,54634,4716,332,1671,459,380,5018,8820,8338,1056,8489,884,229,306,173,71143,61806,0,GmsCore,microg/GmsCore,10860,Java,2014-04-23T19:28:47Z,2025-09-10T19:06:35Z,1139,https://github.com/microg/GmsCore
HikariCP,0.0,0.0,0.0,1622,2556,934,1622,4718,476,26,4644,63888,78.70946136,-34.0,-34.0,2806,146,2262,208,32,304,2610,8,56,18,788,246,42,630,26,90,442,0,1498,22928,1352,198,578,710,158,3142,2316,3490,338,3038,428,46,100,74,17104,22038,218,HikariCP,brettwooldridge/HikariCP,20702,Java,2013-10-08T05:43:03Z,2025-09-10T13:11:38Z,505,https://github.com/brettwooldridge/HikariCP
Hystrix,0.0,0.0,0.0,13396,20240,6844,13396,16840,6296,272,19686,81218,443.962887162,-196.0,-196.0,11640,884,8902,914,1122,702,10752,154,28,22,3180,864,164,2406,132,478,2258,0,7644,124020,6744,722,1216,1346,224,10468,38552,12724,2396,11464,1642,2296,924,0,80998,131640,218,Hystrix,Netflix/Hystrix,24398,Java,2012-11-19T20:14:46Z,2025-09-10T02:11:17Z,410,https://github.com/Netflix/Hystrix
ImmersionBar,0.0,0.0,0.0,902,1224,322,902,1745,299,59,1719,22614,47.73229886,-7.0,-7.0,875,170,485,107,199,84,769,5,0,0,376,53,44,173,17,142,64,0,424,7237,495,27,361,25,30,250,573,1025,138,763,125,15,8,32,3981,7402,1,ImmersionBar,gyf-dev/ImmersionBar,11453,Java,2017-04-19T05:10:09Z,2025-09-10T11:50:20Z,131,https://github.com/gyf-dev/ImmersionBar
JCSprout,0.0,0.0,0.0,636,934,298,636,1348,354,6,1318,572,47.26129166,0.0,0.0,748,100,652,72,8,16,680,2,0,2,358,134,12,332,0,14,110,0,174,8798,256,244,206,100,60,950,1056,1668,344,1346,318,50,56,42,4754,2790,202,JCSprout,crossoverJie/JCSprout,27075,Java,2017-12-17T09:06:50Z,2025-09-10T17:39:43Z,45,https://github.com/crossoverJie/JCSprout
Java,0.0,0.0,0.0,12404,15900,3496,12404,48968,6276,140,30560,47868,600.497778836,-84.0,-84.0,26576,4768,13080,4828,28,8640,21796,44,20,24,4916,976,260,3404,28,1224,1908,0,12448,230276,11856,7524,7540,196,2748,32972,134024,53756,15852,41984,6056,24,588,2352,255128,75900,0,Java,TheAlgorithms/Java,63323,Java,2016-07-16T10:21:02Z,2025-09-10T22:03:14Z,5,https://github.com/TheAlgorithms/Java
Java,0.0,0.0,0.0,12404,15900,3496,12404,48968,6276,140,30560,47868,600.497778836,-84.0,-84.0,26576,4768,13080,4828,28,8640,21796,44,20,24,4916,976,260,3404,28,1224,1908,0,12448,230276,11856,7524,7540,196,2748,32972,134024,53756,15852,41984,6056,24,588,2352,255128,75900,0,Java,DuGuQiuBai/Java,13690,Java,2015-11-25T07:30:08Z,2025-09-10T18:27:12Z,77,https://github.com/DuGuQiuBai/Java
Java,0.0,0.0,0.0,12404,15900,3496,12404,48968,6276,140,30560,47868,600.497778836,-84.0,-84.0,26576,4768,13080,4828,28,8640,21796,44,20,24,4916,976,260,3404,28,1224,1908,0,12448,230276,11856,7524,7540,196,2748,32972,134024,53756,15852,41984,6056,24,588,2352,255128,75900,0,Java,HelloWorld521/Java,3530,Java,2016-12-08T14:01:46Z,2025-09-10T06:40:47Z,80,https://github.com/HelloWorld521/Java
